time,event_id,source_event_id,element_name,element_type,event_type,item,reason
2025-07-03 18:38:13.414330630 UTC,P2_001903,Q2_002141,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:38:13.414330630 UTC,P2_001904,P2_001903,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":239}",
2025-07-03 18:38:13.414330630 UTC,P2_001905,P2_001904,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:38:13.414330631 UTC,P2_001906,Q2_002144,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:43:48.057754381 UTC,SNK_000784,SNK_000783,Sink,DiscreteSink,ProcessFinish,"{""id"":237}",
2025-07-03 18:43:48.057754381 UTC,SNK_000785,SNK_000784,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 18:43:48.057754381 UTC,SNK_000786,SNK_000785,Sink,DiscreteSink,ProcessStart,"{""id"":238}",
2025-07-03 18:43:48.057754382 UTC,P2_001907,Q3_000943,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:51:55.521443155 UTC,P2_001908,P2_001905,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":239}",
2025-07-03 18:51:55.521443155 UTC,P2_001909,P2_001908,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:51:55.521443156 UTC,P2_001910,Q3_000945,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:51:59.698091622 UTC,P1_000728,P1_000727,Process1,DiscreteProcess,ProcessFinish,"{""id"":240}",
2025-07-03 18:51:59.698091622 UTC,P1_000729,P1_000728,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 18:51:59.698091622 UTC,P1_000730,P1_000729,Process1,DiscreteProcess,ProcessStart,"{""id"":241}",
2025-07-03 18:51:59.698091623 UTC,P2_001911,Q2_002150,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:51:59.698091623 UTC,P2_001912,P2_001911,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":240}",
2025-07-03 18:51:59.698091623 UTC,P2_001913,P2_001912,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:51:59.698091624 UTC,P2_001914,Q2_002153,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:53:13.414330630 UTC,SRC_000621,SRC_000620,Source,DiscreteSource,ProcessFinish,"{""id"":250}",
2025-07-03 18:53:13.414330630 UTC,SRC_000622,SRC_000621,Source,DiscreteSource,ProcessStart,"{""id"":251}",
2025-07-03 18:58:48.057754381 UTC,SNK_000787,SNK_000786,Sink,DiscreteSink,ProcessFinish,"{""id"":238}",
2025-07-03 18:58:48.057754381 UTC,SNK_000788,SNK_000787,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 18:58:48.057754381 UTC,SNK_000789,SNK_000788,Sink,DiscreteSink,ProcessStart,"{""id"":239}",
2025-07-03 18:58:48.057754382 UTC,P2_001915,Q3_000947,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:04:47.803652705 UTC,P2_001916,P2_001913,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":240}",
2025-07-03 19:04:47.803652705 UTC,P2_001917,P2_001916,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:04:47.803652706 UTC,P2_001918,Q3_000949,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:08:13.414330630 UTC,SRC_000623,SRC_000622,Source,DiscreteSource,ProcessFinish,"{""id"":251}",
2025-07-03 19:08:13.414330630 UTC,SRC_000624,SRC_000623,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 19:08:13.414330631 UTC,SRC_000625,Q1_000625,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 19:08:52.440531884 UTC,P1_000731,P1_000730,Process1,DiscreteProcess,ProcessFinish,"{""id"":241}",
2025-07-03 19:08:52.440531884 UTC,P1_000732,P1_000731,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 19:08:52.440531884 UTC,P1_000733,P1_000732,Process1,DiscreteProcess,ProcessStart,"{""id"":242}",
2025-07-03 19:08:52.440531885 UTC,SRC_000626,Q1_000627,Source,DiscreteSource,ProcessStart,"{""id"":252}",
2025-07-03 19:08:52.440531885 UTC,P2_001919,Q2_002159,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:08:52.440531885 UTC,P2_001920,P2_001919,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":241}",
2025-07-03 19:08:52.440531885 UTC,P2_001921,P2_001920,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:08:52.440531886 UTC,P2_001922,Q2_002162,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:13:48.057754381 UTC,SNK_000790,SNK_000789,Sink,DiscreteSink,ProcessFinish,"{""id"":239}",
2025-07-03 19:13:48.057754381 UTC,SNK_000791,SNK_000790,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 19:13:48.057754381 UTC,SNK_000792,SNK_000791,Sink,DiscreteSink,ProcessStart,"{""id"":240}",
2025-07-03 19:13:48.057754382 UTC,P2_001923,Q3_000951,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:19:21.871359611 UTC,P2_001924,P2_001921,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":241}",
2025-07-03 19:19:21.871359611 UTC,P2_001925,P2_001924,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:19:21.871359612 UTC,P2_001926,Q3_000953,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:23:43.082157793 UTC,P1_000734,P1_000733,Process1,DiscreteProcess,ProcessFinish,"{""id"":242}",
2025-07-03 19:23:43.082157793 UTC,P1_000735,P1_000734,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 19:23:43.082157793 UTC,P1_000736,P1_000735,Process1,DiscreteProcess,ProcessStart,"{""id"":243}",
2025-07-03 19:23:43.082157794 UTC,P2_001927,Q2_002168,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:23:43.082157794 UTC,P2_001928,P2_001927,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":242}",
2025-07-03 19:23:43.082157794 UTC,P2_001929,P2_001928,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:23:43.082157795 UTC,P2_001930,Q2_002171,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:23:52.440531885 UTC,SRC_000627,SRC_000626,Source,DiscreteSource,ProcessFinish,"{""id"":252}",
2025-07-03 19:23:52.440531885 UTC,SRC_000628,SRC_000627,Source,DiscreteSource,ProcessStart,"{""id"":253}",
2025-07-03 19:28:48.057754381 UTC,SNK_000793,SNK_000792,Sink,DiscreteSink,ProcessFinish,"{""id"":240}",
2025-07-03 19:28:48.057754381 UTC,SNK_000794,SNK_000793,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 19:28:48.057754381 UTC,SNK_000795,SNK_000794,Sink,DiscreteSink,ProcessStart,"{""id"":241}",
2025-07-03 19:28:48.057754382 UTC,P2_001931,Q3_000955,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:38:52.440531885 UTC,SRC_000629,SRC_000628,Source,DiscreteSource,ProcessFinish,"{""id"":253}",
2025-07-03 19:38:52.440531885 UTC,SRC_000630,SRC_000629,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 19:38:52.440531886 UTC,SRC_000631,Q1_000631,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 19:42:38.371153196 UTC,P2_001932,P2_001929,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":242}",
2025-07-03 19:42:38.371153196 UTC,P2_001933,P2_001932,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:42:38.371153197 UTC,P2_001934,Q3_000957,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:43:48.057754381 UTC,SNK_000796,SNK_000795,Sink,DiscreteSink,ProcessFinish,"{""id"":241}",
2025-07-03 19:43:48.057754381 UTC,SNK_000797,SNK_000796,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 19:43:48.057754381 UTC,SNK_000798,SNK_000797,Sink,DiscreteSink,ProcessStart,"{""id"":242}",
2025-07-03 19:43:48.057754382 UTC,P2_001935,Q3_000959,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:44:01.864038551 UTC,P1_000737,P1_000736,Process1,DiscreteProcess,ProcessFinish,"{""id"":243}",
2025-07-03 19:44:01.864038551 UTC,P1_000738,P1_000737,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 19:44:01.864038551 UTC,P1_000739,P1_000738,Process1,DiscreteProcess,ProcessStart,"{""id"":244}",
2025-07-03 19:44:01.864038552 UTC,SRC_000632,Q1_000633,Source,DiscreteSource,ProcessStart,"{""id"":254}",
2025-07-03 19:44:01.864038552 UTC,P2_001936,Q2_002178,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:44:01.864038552 UTC,P2_001937,P2_001936,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":243}",
2025-07-03 19:44:01.864038552 UTC,P2_001938,P2_001937,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:44:01.864038553 UTC,P2_001939,Q2_002181,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 19:55:37.548899442 UTC,P2_001940,P2_001938,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":243}",
