time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:01:05 UTC,_000129,_000128,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:05 UTC,_000130,_000129,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:05.000000001 UTC,_000042,_000107,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:05.000000001 UTC,_000043,_000042,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:05.000000001 UTC,_000044,_000043,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:06 UTC,_000131,_000130,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:06 UTC,_000132,_000131,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:06.000000001 UTC,_000045,_000111,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:06.000000001 UTC,_000046,_000045,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:06.000000001 UTC,_000047,_000046,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:07 UTC,_000133,_000132,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:07 UTC,_000134,_000133,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:07.000000001 UTC,_000048,_000115,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:07.000000001 UTC,_000049,_000048,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:07.000000001 UTC,_000050,_000049,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:08 UTC,_000135,_000134,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:08 UTC,_000136,_000135,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:08.000000001 UTC,_000051,_000119,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:08.000000001 UTC,_000052,_000051,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:08.000000001 UTC,_000053,_000052,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:09 UTC,_000137,_000136,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:09 UTC,_000138,_000137,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:09.000000001 UTC,_000054,_000123,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:09.000000001 UTC,_000055,_000054,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:09.000000001 UTC,_000056,_000055,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:10 UTC,_000139,_000138,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:10 UTC,_000140,_000139,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:10.000000001 UTC,_000057,_000127,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:10.000000001 UTC,_000058,_000057,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:10.000000001 UTC,_000059,_000058,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:11 UTC,_000141,_000140,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:11 UTC,_000142,_000141,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:11.000000001 UTC,_000060,_000131,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:11.000000001 UTC,_000061,_000060,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:11.000000001 UTC,_000062,_000061,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:12 UTC,_000143,_000142,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:12 UTC,_000144,_000143,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:12.000000001 UTC,_000063,_000135,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:12.000000001 UTC,_000064,_000063,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:12.000000001 UTC,_000065,_000064,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:13 UTC,_000145,_000144,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:13 UTC,_000146,_000145,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:13.000000001 UTC,_000066,_000139,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:13.000000001 UTC,_000067,_000066,Process,VectorProcess,WithdrawRequest,,,,
