time,event_id,element_name,element_type,event_type,truck_id,total,fe,other_elements,fe_%,magnetite,hematite,limonite,message
2025-05-01 00:09:47.783575121 UTC,PR-LOADING_000044,loading_process,LoadingProcess,ProcessSuccess,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:09:47.783575121 UTC,PR-LOADING_000045,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:09:47.783575122 UTC,PR-LOADMOV_000057,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:47.783575122 UTC,PR-LOADING_000046,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:09:47.783575122 UTC,PR-LOADMOV_000058,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_01,,,,,,,,
2025-05-01 00:09:47.783575122 UTC,PR-LOADMOV_000059,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:47.783575123 UTC,PR-LOADMOV_000060,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:47.783575123 UTC,PR-LOADING_000047,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:11:54.692992609 UTC,PR-LOADMOV_000061,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_00,,,,,,,,
2025-05-01 00:11:54.692992609 UTC,PR-LOADMOV_000062,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:11:54.692992610 UTC,PR-LOADMOV_000063,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:11:54.692992610 UTC,PR-DUMPING_000037,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:11:54.692992610 UTC,PR-DUMPING_000038,dumping_process,DumpingProcess,ProcessStart,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:11:54.692992611 UTC,PR-LOADMOV_000064,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:03.700134835 UTC,PR-DUMPING_000039,dumping_process,DumpingProcess,ProcessSuccess,Truck_00,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:12:03.700134835 UTC,PR-DUMPING_000040,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:03.700134836 UTC,PR-DUMPMOV_000050,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:03.700134836 UTC,PR-DUMPING_000041,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:03.700134836 UTC,PR-DUMPMOV_000051,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_00,,,,,,,,
2025-05-01 00:12:03.700134836 UTC,PR-DUMPMOV_000052,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
